Alpha,T1_Re0.100_M0.00_N9.0, , 
          -15,    -0.1438284, , 
        -14.5,    -0.1344992, , 
          -14,    -0.1186175, , 
        -13.5,    -0.1228883, , 
          -13,   -0.09624808, , 
        -12.5,    -0.1121366, , 
          -12,   -0.07638813, , 
        -11.5,   -0.08179495, , 
          -11,   -0.07721089, , 
        -10.5,   -0.08653075, , 
          -10,   -0.08637987, , 
         -9.5,   -0.04899247, , 
           -9,   -0.05841964, , 
         -8.5,   -0.08021519, , 
           -8,   -0.09114418, , 
         -7.5,    -0.1278339, , 
           -7,    -0.1993331, , 
         -6.5,    -0.2614566, , 
           -6,    -0.3441365, , 
         -5.5,     -0.339846, , 
           -5,    -0.2754379, , 
           -4,      0.162338, , 
         -3.5,     0.1936691, , 
           -3,     0.2285666, , 
         -2.5,     0.2642359, , 
           -2,       0.29789, , 
         -1.5,     0.3731864, , 
           -1,     0.4705209, , 
         -0.5,     0.5778066, , 
          0.5,     0.7142646, , 
            1,     0.8038816, , 
          1.5,     0.9375564, , 
            2,     0.9954171, , 
          2.5,      1.033879, , 
            3,      1.072157, , 
          3.5,      1.115835, , 
            4,       1.18353, , 
          4.5,      1.248504, , 
            5,      1.328949, , 
          5.5,      1.394859, , 
            6,      1.408436, , 
          6.5,      1.433392, , 
            7,      1.433358, , 
          7.5,        1.3984, , 
            8,        1.3577, , 
          8.5,      1.310722, , 
            9,      1.126926, , 
          9.5,      1.047362, , 
           10,     0.9544423, , 
         10.5,     0.9717206, , 
           11,     0.9912383, , 
         11.5,     0.9777982, , 
           12,      1.017903, , 
         12.5,     0.9981619, , 
           13,      1.036897, , 
         13.5,      1.022613, , 
           14,       1.03595, , 
           15,      1.062791, , 
         15.5,      1.072069, , 
           16,      1.087683, , 
         16.5,      1.119269, , 
           17,      1.111594, , 
         17.5,      1.123507, , 
           18,      1.141059, , 
         18.5,      1.155394, , 
           19,      1.160486, , 
         19.5,      1.172824, , 
           20,      1.185709, , 

